observation_date,LB0000091Q020SBEA,A261RX1Q020SBEA,GDPC1
1947-01-01,2168.894,2155.107,2182.681
1947-04-01,2164.684,2152.475,2176.892
1947-07-01,2163.701,2154.969,2172.432
1947-10-01,2191.064,2175.676,2206.452
1948-01-01,2236.85,2234.019,2239.682
1948-04-01,2281.23,2285.769,2276.69
1948-07-01,2288.721,2287.672,2289.77
1948-10-01,2295.869,2299.374,2292.364
1949-01-01,2257.298,2253.788,2260.807
1949-04-01,2250.266,2247.403,2253.128
1949-07-01,2267.973,2259.522,2276.424
1949-10-01,2243.195,2229.038,2257.352
1950-01-01,2332.225,2318.346,2346.104
1950-04-01,2415.802,2413.923,2417.682
1950-07-01,2508.563,2505.999,2511.127
1950-10-01,2556.623,2554.032,2559.214
1951-01-01,2580.591,2567.214,2593.967
1951-04-01,2625.704,2612.511,2638.898
1951-07-01,2675.776,2658.293,2693.259
1951-10-01,2690.417,2681.678,2699.156
1952-01-01,2713.673,2699.392,2727.954
1952-04-01,2724.616,2715.431,2733.8
1952-07-01,2747.146,2740.774,2753.517
1952-10-01,2834.453,2824.964,2843.941
1953-01-01,2885.957,2875.103,2896.811
1953-04-01,2907.155,2895.104,2919.206
1953-07-01,2889.53,2876.276,2902.785
1953-10-01,2838.677,2818.509,2858.845
1954-01-01,2834.902,2824.612,2845.192
1954-04-01,2839.005,2829.704,2848.305
1954-07-01,2867.793,2855.104,2880.482
1954-10-01,2926.241,2915.631,2936.852
1955-01-01,3008.204,2995.663,3020.746
1955-04-01,3063.375,3056.84,3069.91
1955-07-01,3104.172,3096.965,3111.379
1955-10-01,3125.326,3120.584,3130.068
1956-01-01,3120.711,3123.499,3117.922
1956-04-01,3149.569,3155.445,3143.694
1956-07-01,3149.86,3158.846,3140.874
1956-10-01,3203.287,3214.005,3192.57
1957-01-01,3217.45,3221.889,3213.011
1957-04-01,3212.554,3219.137,3205.97
1957-07-01,3235.175,3232.965,3237.386
1957-10-01,3199.965,3196.037,3203.894
1958-01-01,3122.753,3124.782,3120.724
1958-04-01,3137.664,3134.104,3141.224
1958-07-01,3210.507,3207.129,3213.884
1958-10-01,3285.377,3281.723,3289.032
1959-01-01,3351.52,3350.911,3352.129
1959-04-01,3434.975,3442.283,3427.667
1959-07-01,3422.017,3413.976,3430.057
1959-10-01,3438.56,3437.288,3439.832
1960-01-01,3515.484,3513.787,3517.181
1960-04-01,3505.732,3513.218,3498.246
1960-07-01,3514.376,3513.367,3515.385
1960-10-01,3482.293,3494.307,3470.278
1961-01-01,3497.562,3501.421,3493.703
1961-04-01,3556.78,3560.538,3553.021
1961-07-01,3619.607,3617.962,3621.252
1961-10-01,3697.999,3703.71,3692.289
1962-01-01,3753.376,3748.605,3758.147
1962-04-01,3791.223,3790.298,3792.149
1962-07-01,3833.733,3828.689,3838.776
1962-10-01,3862.496,3873.571,3851.421
1963-01-01,3900.303,3907.124,3893.482
1963-04-01,3950.596,3964.01,3937.183
1963-07-01,4020.651,4017.546,4023.755
1963-10-01,4051.297,4052.446,4050.147
1964-01-01,4127.763,4119.972,4135.553
1964-04-01,4180.756,4180.92,4180.592
1964-07-01,4243.061,4240.203,4245.918
1964-10-01,4270.005,4280.964,4259.046
1965-01-01,4369.288,4376.464,4362.111
1965-04-01,4424.758,4432.292,4417.225
1965-07-01,4505.123,4494.819,4515.427
1965-10-01,4606.302,4593.146,4619.458
1966-01-01,4712.845,4693.801,4731.888
1966-04-01,4736.559,4725.072,4748.046
1966-07-01,4772.942,4757.629,4788.254
1966-10-01,4813.638,4799.739,4827.537
1967-01-01,4849.031,4827.763,4870.299
1967-04-01,4863.81,4854.332,4873.287
1967-07-01,4912.369,4905.347,4919.392
1967-10-01,4955.649,4954.821,4956.477
1968-01-01,5042.933,5028.313,5057.553
1968-04-01,5123.098,5104.163,5142.033
1968-07-01,5177.639,5173.418,5181.859
1968-10-01,5205.315,5208.418,5202.212
1969-01-01,5271.361,5259.126,5283.597
1969-04-01,5295.366,5291.107,5299.625
1969-07-01,5330.722,5326.845,5334.6
1969-10-01,5312.115,5315.674,5308.556
1970-01-01,5290.222,5279.792,5300.652
1970-04-01,5294.445,5280.726,5308.164
1970-07-01,5340.848,5324.618,5357.077
1970-10-01,5287.143,5274.615,5299.672
1971-01-01,5411.708,5379.798,5443.619
1971-04-01,5444.003,5414.946,5473.059
1971-07-01,5489.433,5460.793,5518.072
1971-10-01,5530.424,5529.815,5531.032
1972-01-01,5621.259,5609.869,5632.649
1972-04-01,5721.133,5681.795,5760.47
1972-07-01,5794.834,5774.813,5814.854
1972-10-01,5917.83,5923.44,5912.22
1973-01-01,6043.875,6029.207,6058.544
1973-04-01,6093.37,6062.234,6124.506
1973-07-01,6087.033,6081.765,6092.301
1973-10-01,6147.932,6145.734,6150.131
1974-01-01,6097.13,6097.001,6097.258
1974-04-01,6092.396,6073.04,6111.751
1974-07-01,6047.052,6040.126,6053.978
1974-10-01,5999.317,5968.17,6030.464
1975-01-01,5928.667,5900.299,5957.035
1975-04-01,5974.4,5949.19,5999.61
1975-07-01,6086.257,6070.188,6102.326
1975-10-01,6157.981,6131.433,6184.53
1976-01-01,6291.197,6258.745,6323.649
1976-04-01,6334.034,6298.042,6370.025
1976-07-01,6375.419,6345.943,6404.895
1976-10-01,6408.43,6365.683,6451.177
1977-01-01,6482.171,6436.639,6527.703
1977-04-01,6620.963,6587.461,6654.466
1977-07-01,6741.511,6708.565,6774.457
1977-10-01,6760.919,6747.246,6774.592
1978-01-01,6791.957,6787.654,6796.26
1978-04-01,7025.547,6992.174,7058.92
1978-07-01,7086.458,7043.001,7129.915
1978-10-01,7168.478,7111.206,7225.75
1979-01-01,7203.232,7167.738,7238.727
1979-04-01,7189.099,7131.743,7246.454
1979-07-01,7220.327,7140.374,7300.281
1979-10-01,7243.627,7168.718,7318.535
1980-01-01,7252.358,7163.16,7341.557
1980-04-01,7118.747,7047.205,7190.289
1980-07-01,7140.595,7099.446,7181.743
1980-10-01,7290.078,7264.48,7315.677
1981-01-01,7388.225,7317.429,7459.022
1981-04-01,7362.29,7320.834,7403.745
1981-07-01,7459.362,7426.318,7492.405
1981-10-01,7379.895,7349.023,7410.768
1982-01-01,7293.209,7290.787,7295.631
1982-04-01,7323.144,7317.377,7328.912
1982-07-01,7294.944,7288.992,7300.896
1982-10-01,7280.537,7257.257,7303.817
1983-01-01,7367.484,7334.901,7400.066
1983-04-01,7513.251,7458.046,7568.456
1983-07-01,7640.658,7561.569,7719.746
1983-10-01,7809.127,7737.461,7880.794
1984-01-01,7991.756,7948.665,8034.847
1984-04-01,8126.016,8078.361,8173.67
1984-07-01,8208.16,8163.854,8252.465
1984-10-01,8286.949,8253.699,8320.199
1985-01-01,8361.949,8323.077,8400.82
1985-04-01,8428.871,8382.955,8474.787
1985-07-01,8544.433,8484.646,8604.22
1985-10-01,8600.264,8532.34,8668.188
1986-01-01,8682.848,8616.568,8749.127
1986-04-01,8714.506,8640.488,8788.524
1986-07-01,8783.607,8694.612,8872.601
1986-10-01,8841.578,8762.963,8920.193
1987-01-01,8920.059,8853.75,8986.367
1987-04-01,9039.062,8994.869,9083.256
1987-07-01,9143.826,9125.627,9162.024
1987-10-01,9283.452,9247.572,9319.332
1988-01-01,9362.736,9357.969,9367.502
1988-04-01,9478.157,9465.72,9490.594
1988-07-01,9548.649,9551.092,9546.206
1988-10-01,9677.673,9681.941,9673.405
1989-01-01,9756.345,9740.964,9771.725
1989-04-01,9784.954,9723.615,9846.293
1989-07-01,9841.586,9763.944,9919.228
1989-10-01,9856.731,9774.696,9938.767
1990-01-01,9957.678,9867.971,10047.386
1990-04-01,10003.38,9922.905,10083.855
1990-07-01,10003.231,9915.892,10090.569
1990-10-01,9934.347,9869.991,9998.704
1991-01-01,9900.709,9849.502,9951.916
1991-04-01,9953.905,9878.301,10029.51
1991-07-01,9992.685,9905.175,10080.195
1991-10-01,10027.634,9939.939,10115.329
1992-01-01,10173.371,10110.308,10236.435
1992-04-01,10271.13,10194.831,10347.429
1992-07-01,10338.566,10227.459,10449.673
1992-10-01,10441.241,10323.834,10558.648
1993-01-01,10432.114,10287.953,10576.275
1993-04-01,10524.831,10411.816,10637.847
1993-07-01,10560.503,10432.4,10688.606
1993-10-01,10734.658,10635.328,10833.987
1994-01-01,10816.572,10694.028,10939.116
1994-04-01,10973.6,10859.839,11087.361
1994-07-01,11056.924,10961.671,11152.176
1994-10-01,11186.407,11092.882,11279.932
1995-01-01,11229.398,11138.844,11319.951
1995-04-01,11278.811,11203.9,11353.721
1995-07-01,11396.179,11342.048,11450.31
1995-10-01,11472.003,11415.939,11528.067
1996-01-01,11578.838,11543.259,11614.418
1996-04-01,11759.921,11711.702,11808.14
1996-07-01,11866.706,11819.348,11914.063
1996-10-01,12001.59,11965.404,12037.775
1997-01-01,12106.269,12097.066,12115.472
1997-04-01,12285.413,12253.605,12317.221
1997-07-01,12461.014,12451.017,12471.01
1997-10-01,12598.721,12619.947,12577.495
1998-01-01,12723.725,12743.709,12703.742
1998-04-01,12876.225,12931.11,12821.339
1998-07-01,13046.603,13110.454,12982.752
1998-10-01,13213.789,13235.908,13191.67
1999-01-01,13368.199,13420.801,13315.597
1999-04-01,13456.098,13485.449,13426.748
1999-07-01,13611.263,13617.755,13604.771
1999-10-01,13822.399,13816.819,13827.98
2000-01-01,13984.906,14091.664,13878.147
2000-04-01,14158.236,14185.563,14130.908
2000-07-01,14230.437,14315.561,14145.312
2000-10-01,14274.311,14318.857,14229.765
2001-01-01,14324.805,14466.491,14183.12
2001-04-01,14361.309,14450.923,14271.694
2001-07-01,14295.428,14376.34,14214.516
2001-10-01,14256.214,14258.854,14253.574
2002-01-01,14401.624,14430.462,14372.785
2002-04-01,14513.895,14566.942,14460.848
2002-07-01,14564.38,14609.128,14519.633
2002-10-01,14626.845,14716.109,14537.58
2003-01-01,14661.005,14707.87,14614.141
2003-04-01,14785.439,14827.311,14743.567
2003-07-01,14987.959,14987.136,14988.782
2003-10-01,15138.366,15113.973,15162.76
2004-01-01,15243.92,15239.16,15248.68
2004-04-01,15389.481,15412.112,15366.85
2004-07-01,15557.226,15601.833,15512.619
2004-10-01,15679.26,15687.639,15670.88
2005-01-01,15834.037,15823.346,15844.727
2005-04-01,15948.723,15974.664,15922.782
2005-07-01,16070.746,16093.905,16047.587
2005-10-01,16236.763,16336.791,16136.734
2006-01-01,16472.127,16590.419,16353.835
2006-04-01,16527.085,16658.019,16396.151
2006-07-01,16571.594,16722.45,16420.738
2006-10-01,16660.914,16759.963,16561.866
2007-01-01,16685.503,16759.315,16611.69
2007-04-01,16776.727,16840.141,16713.314
2007-07-01,16752.461,16695.335,16809.587
2007-10-01,16808.391,16701.591,16915.191
2008-01-01,16767.156,16691.308,16843.003
2008-04-01,16802.074,16660.856,16943.291
2008-07-01,16747.962,16641.629,16854.295
2008-10-01,16374.448,16263.547,16485.35
2009-01-01,16146.725,15995.187,16298.262
2009-04-01,16160.043,16050.941,16269.145
2009-07-01,16221.625,16116.97,16326.281
2009-10-01,16434.942,16367.131,16502.754
2010-01-01,16519.756,16456.803,16582.71
2010-04-01,16679.187,16615.213,16743.162
2010-07-01,16869.238,16866.211,16872.266
2010-10-01,16935.513,16910.162,16960.864
2011-01-01,16924.764,16928.897,16920.632
2011-04-01,17043.624,17052.134,17035.114
2011-07-01,17059.939,17088.566,17031.313
2011-10-01,17234.276,17245.97,17222.583
2012-01-01,17478.342,17589.674,17367.01
2012-04-01,17537.386,17630.248,17444.525
2012-07-01,17474.868,17480.086,17469.65
2012-10-01,17610.359,17730.866,17489.852
2013-01-01,17695.965,17729.53,17662.4
2013-04-01,17773.235,17836.798,17709.671
2013-07-01,17856.842,17853.234,17860.45
2013-10-01,17986.093,17956.04,18016.147
2014-01-01,18014.323,18074.671,17953.974
2014-04-01,18255.584,18325.257,18185.911
2014-07-01,18471.391,18535.841,18406.941
2014-10-01,18597.753,18695.476,18500.031
2015-01-01,18743.825,18821.028,18666.621
2015-04-01,18834.276,18886.309,18782.243
2015-07-01,18887.724,18918.031,18857.418
2015-10-01,18923.996,18955.786,18892.206
2016-01-01,19035.604,19069.518,19001.69
2016-04-01,19021.302,18979.895,19062.709
2016-07-01,19151.317,19104.696,19197.938
2016-10-01,19251.401,19198.45,19304.352
2017-01-01,19376.676,19355.01,19398.343
2017-04-01,19490.535,19474.121,19506.949
2017-07-01,19615.356,19569.945,19660.766
2017-10-01,19830.327,19778.303,19882.352
2018-01-01,19983.144,19922.21,20044.077
2018-04-01,20096.278,20042.08,20150.476
2018-07-01,20257.683,20239.212,20276.154
2018-10-01,20313.828,20322.781,20304.874
2019-01-01,20461.66,20508.171,20415.15
2019-04-01,20569.777,20555.025,20584.528
2019-07-01,20753.841,20690.1,20817.581
2019-10-01,20902.094,20853.099,20951.088
2020-01-01,20695.614,20725.675,20665.553
2020-04-01,18980.446,18926.062,19034.83
2020-07-01,20338.628,20165.471,20511.785
2020-10-01,20810.36,20896.592,20724.128
2021-01-01,21024.107,21057.673,20990.541
2021-04-01,21303.519,21297.494,21309.544
2021-07-01,21484.803,21486.524,21483.083
2021-10-01,21829.433,21811.265,21847.602
2022-01-01,21787.896,21836.921,21738.871
2022-04-01,21772.537,21836.913,21708.16
2022-07-01,21916.292,21981.449,21851.134
2022-10-01,21902.446,21814.911,21989.981
2023-01-01,21977.011,21841.693,22112.329
2023-04-01,22045.793,21866.237,22225.35
2023-07-01,22226.301,21946.237,22506.365
